state,2015,2016,2017,2018
United States,38278.0,39440.0,40922.0,42757.0
Alabama,30843.0,31497.0,32527.0,33904.0
Alaska,45345.0,46205.0,48053.0,50246.0
Arizona,32438.0,33059.0,34471.0,35906.0
Arkansas,30596.0,31628.0,32913.0,34095.0
California,40743.0,42549.0,44502.0,46981.0
Colorado,39268.0,40552.0,42215.0,44174.0
Connecticut,47998.0,49215.0,50893.0,52941.0
Delaware,40573.0,41416.0,42536.0,44103.0
District of Columbia,57567.0,58795.0,60471.0,63151.0
Florida,37700.0,38447.0,39539.0,41148.0
Georgia,32858.0,33788.0,34965.0,36488.0
Hawaii,42258.0,44001.0,46279.0,48759.0
Idaho,32472.0,33761.0,35322.0,36777.0
Illinois,39835.0,41213.0,42979.0,45085.0
Indiana,33797.0,34832.0,36354.0,37680.0
Iowa,35361.0,36361.0,37706.0,38944.0
Kansas,34439.0,35324.0,36478.0,37897.0
Kentucky,31696.0,32720.0,33828.0,35150.0
Louisiana,33062.0,33713.0,34696.0,36104.0
Maine,40809.0,41836.0,43436.0,45497.0
Maryland,42252.0,43593.0,45207.0,46820.0
Massachusetts,49725.0,51292.0,53286.0,55095.0
Michigan,36607.0,37795.0,39118.0,40764.0
Minnesota,41887.0,43397.0,45439.0,47434.0
Mississippi,28434.0,29109.0,29942.0,31083.0
Missouri,36384.0,37291.0,38618.0,40060.0
Montana,38189.0,39236.0,40933.0,42698.0
Nebraska,37610.0,38831.0,40190.0,41690.0
Nevada,38220.0,39074.0,39997.0,41458.0
New Hampshire,47201.0,48335.0,50034.0,52120.0
New Jersey,47694.0,49047.0,50541.0,52729.0
New Mexico,32975.0,33757.0,34687.0,36258.0
New York,45833.0,47668.0,49857.0,52701.0
North Carolina,31903.0,32856.0,34179.0,35718.0
North Dakota,46342.0,45871.0,46814.0,48499.0
Ohio,37137.0,38040.0,39341.0,40852.0
Oklahoma,31602.0,32167.0,32966.0,34500.0
Oregon,38021.0,39160.0,40870.0,42717.0
Pennsylvania,40239.0,41316.0,42760.0,44805.0
Rhode Island,40889.0,41893.0,43266.0,45144.0
South Carolina,31853.0,32726.0,33637.0,34689.0
South Dakota,39689.0,40961.0,42491.0,44149.0
Tennessee,32491.0,33539.0,34886.0,36340.0
Texas,35302.0,36134.0,37396.0,39045.0
Utah,33009.0,34483.0,35801.0,37721.0
Vermont,45333.0,46429.0,47882.0,49950.0
Virginia,40843.0,42085.0,43457.0,45139.0
Washington,41120.0,42427.0,44235.0,46574.0
West Virginia,32516.0,33489.0,34604.0,36071.0
Wisconsin,37896.0,39152.0,40611.0,42456.0
Wyoming,39423.0,39604.0,40921.0,42766.0
