state,2015,2016,2017,2018
United States *,18224780.0,18715040.0,19519424.0,20580223.0
Alabama,200402.7,203829.8,210364.4,221735.5
Alaska,50641.6,49363.4,51803.1,54734.1
Arizona,297141.2,311091.0,327495.8,348297.1
Arkansas,118761.2,120374.8,123383.1,128418.9
California,2553772.2,2657797.6,2819110.7,2997732.8
Colorado,318554.9,329368.3,350004.4,371749.6
Connecticut,260072.6,263696.4,268310.5,275726.9
Delaware,70969.4,69549.7,70774.8,73481.3
District of Columbia,125211.9,129826.1,134042.7,140660.9
Florida,895146.2,938774.2,985665.4,1039236.4
Georgia,513565.6,539525.1,566473.6,592153.4
Hawaii,82710.0,85843.8,89428.9,93797.9
Idaho,66004.3,69029.4,72723.2,77052.0
Illinois,792999.4,806315.5,826817.8,865310.4
Indiana,330032.2,338126.1,351105.6,366800.5
Iowa,178472.6,179546.6,181846.3,189701.6
Kansas,152374.1,156857.4,161219.6,168318.0
Kentucky,191923.3,195342.2,200715.4,208087.5
Louisiana,234299.1,227226.7,239204.3,257287.8
Maine,57525.7,59753.9,62040.3,64856.0
Maryland,367096.5,384889.1,394258.6,412584.2
Massachusetts,502858.0,519407.6,540786.0,569488.0
Michigan,474301.4,491774.2,505561.2,527095.8
Minnesota,329493.2,339100.1,351416.8,368852.4
Mississippi,105883.4,107096.6,110223.4,114834.2
Missouri,294794.6,297582.6,304946.2,318921.0
Montana,46152.9,45457.9,47559.1,50326.6
Nebraska,115328.0,116193.8,120517.4,123977.9
Nevada,144232.4,151215.1,158847.6,169309.9
New Hampshire,76033.3,78477.9,80900.2,84463.9
New Jersey,569679.5,582427.5,595324.5,622002.8
New Mexico,90969.0,91043.6,94267.1,100296.8
New York,1487754.1,1539555.2,1604133.6,1668866.2
North Carolina,503628.8,519122.1,538401.6,563690.5
North Dakota,55012.2,50833.1,52472.3,56082.3
Ohio,610772.3,622835.2,645326.0,675905.2
Oklahoma,185936.7,178913.2,188368.1,202554.1
Oregon,203158.9,215050.4,226618.9,239782.8
Pennsylvania,711205.4,726163.9,744290.1,783167.8
Rhode Island,56759.4,57693.9,58506.3,60587.6
South Carolina,203920.9,212987.4,223111.1,233929.9
South Dakota,47752.3,48606.1,49738.7,52014.9
Tennessee,322663.6,335025.7,345949.8,364104.9
Texas,1568457.0,1565632.2,1665631.8,1802511.2
Utah,149371.6,157883.3,167254.6,178137.6
Vermont,30729.6,31659.0,32209.8,33256.3
Virginia,484216.6,493877.9,509372.8,532892.5
Washington,470329.3,491358.2,524814.6,565831.0
West Virginia,70281.0,69721.4,73162.9,77437.6
Wisconsin,305816.5,313532.4,321987.7,336294.0
Wyoming,37721.5,35740.3,37453.6,39118.5
