state,2015,2016,2017,2018
Alabama,0.041300158459401194,0.041909890460108665,0.04315622200986935,0.045366197180216956
Alaska,0.06866676248613555,0.06657630392093394,0.07003258077599027,0.07445408283331452
Arizona,0.043507364038938304,0.04481886947722196,0.046492820564655805,0.04865827496526974
Arkansas,0.03987887367832889,0.04026023456161674,0.041109269344244,0.042667871203193104
California,0.06561923138739369,0.06785788190639612,0.07162648258646666,0.07596584303703136
Colorado,0.05844375954822045,0.059461187189881595,0.0623684198803076,0.06531907457838622
Connecticut,0.07250174373773739,0.07369648093800664,0.07508765714128997,0.07720155564017561
Delaware,0.07539893673532698,0.073293456462656,0.07396853963585742,0.07610864658889525
District of Columbia,0.18538925081433225,0.18930192544636673,0.19289328340811565,0.20050103556853638
Florida,0.04429434111720882,0.0455417686205971,0.04701791623419112,0.04891832483953238
Georgia,0.050456184524024145,0.052371467759799416,0.05441456706943968,0.05633584054846239
Hawaii,0.05816243006584851,0.06013327645302226,0.06278386653121715,0.06602728578839963
Idaho,0.03997694812844362,0.04103080160249171,0.04233717467682357,0.04401623274242861
Illinois,0.06166924062710433,0.06289253944085138,0.0647021620449074,0.06801112718776779
Indiana,0.04994115085265439,0.05096632593260725,0.05273377692481223,0.05478316247471995
Iowa,0.057185160976109914,0.05733801584034597,0.05788426095398768,0.06024916328370098
Kansas,0.052380035689105334,0.05388725744148432,0.05542634246427464,0.05781423726857457
Kentucky,0.04336293283108629,0.04401401294494007,0.0450816078457092,0.046644331633548544
Louisiana,0.0502288928506196,0.0485720698526229,0.05121533606248501,0.05521564739285231
Maine,0.043309000784483784,0.0448832997700773,0.04648564526618973,0.04843408458340459
Maryland,0.06133033122035993,0.0641126755964988,0.06544940891799089,0.06835615217331516
Massachusetts,0.07401252945882887,0.07611920262711457,0.07883420320945732,0.08274272862065182
Michigan,0.04775624350879984,0.04942170655332242,0.05069241161787582,0.05279366975718926
Minnesota,0.06010420953398302,0.06140065518155467,0.06313371887255827,0.06579308196978051
Mississippi,0.03543062656455424,0.03584297933892872,0.03688239289813318,0.0385217811353161
Missouri,0.04855197824936937,0.04888713655931731,0.04993657754553628,0.052097458468121936
Montana,0.04478798612290449,0.043673446643589575,0.04518756615315036,0.047448157523817605
Nebraska,0.060978904729449994,0.06097440407721178,0.06290226191016766,0.06438356804634782
Nevada,0.05030884856636294,0.05182924927413735,0.05348575122773287,0.05592693390007931
New Hampshire,0.056896247240618106,0.05846494132862303,0.059979967185330225,0.062405677280166084
New Jersey,0.06424027697949097,0.0656565053066642,0.06699936132079984,0.06999786743791515
New Mexico,0.04354060779470165,0.043527583750472124,0.045065408283073205,0.04792604531568885
New York,0.07569470272351614,0.07841499711614293,0.08188711830968028,0.08544988259555601
North Carolina,0.05020400440765155,0.05112091951107202,0.05243371473942985,0.05429699521702548
North Dakota,0.07295409155166789,0.06737912130153201,0.06950507456201933,0.07397939531447868
Ohio,0.052573348871924296,0.053534071892160896,0.05534694437654646,0.05788673009806753
Oklahoma,0.047560225092722855,0.04556752856547245,0.04791476950720827,0.051406603920832135
Oregon,0.05058999569698829,0.05257986843932581,0.0546909771033817,0.057338435337548656
Pennsylvania,0.055628868159801316,0.056810223532195954,0.05820386262016583,0.06118057746152973
Rhode Island,0.053746123581408345,0.054594566461954826,0.0554208547533185,0.057250632389890456
South Carolina,0.04168509494601117,0.0429586072358676,0.044433218860256016,0.046011550393024916
South Dakota,0.05591682787111763,0.05632250902669305,0.05698307189632338,0.05919542322845847
Tennessee,0.04895391865177199,0.050410050541603156,0.05156657696854534,0.05376915841988437
Texas,0.05709697133489644,0.05608688129177725,0.058866079857225626,0.0629617600764213
Utah,0.0500938516048004,0.05190340277750382,0.053934967665707205,0.05648795801556976
Vermont,0.04915037363087317,0.05076348056704246,0.05158982868418692,0.053264793595981796
Virginia,0.05790812226255374,0.058724337124882856,0.0601840330819545,0.06268375161122682
Washington,0.06565491619713228,0.06735759080031437,0.07069769735060745,0.07520479157731215
West Virginia,0.03815368746776689,0.03807783954652672,0.04026567910692546,0.04291857577297676
Wisconsin,0.05308447926900818,0.05431363323602353,0.05560921531708999,0.057907781890916527
Wyoming,0.06441369983248323,0.061176621620465076,0.06469441090561742,0.06772581764920767
