state,2015,2016,2017,2018
United States,6414.0,6686.0,6900.0,7191.0
Alabama,5485.0,5619.0,5806.0,6019.0
Alaska,9607.0,10020.0,10730.0,11531.0
Arizona,5169.0,5329.0,5584.0,5851.0
Arkansas,5413.0,5762.0,6048.0,6299.0
California,6408.0,6838.0,7129.0,7543.0
Colorado,6046.0,6334.0,6413.0,6568.0
Connecticut,7308.0,7499.0,7599.0,7889.0
Delaware,7943.0,8205.0,8427.0,8710.0
District of Columbia,9673.0,9735.0,9885.0,10150.0
Florida,6393.0,6569.0,6703.0,6925.0
Georgia,5316.0,5582.0,5743.0,6061.0
Hawaii,6031.0,6441.0,6842.0,7264.0
Idaho,5607.0,5923.0,6116.0,6424.0
Illinois,6545.0,6836.0,7054.0,7441.0
Indiana,6875.0,7273.0,7690.0,7957.0
Iowa,6111.0,6325.0,6431.0,6564.0
Kansas,6091.0,6189.0,6352.0,6592.0
Kentucky,6044.0,6319.0,6477.0,6720.0
Louisiana,6129.0,6362.0,6427.0,6623.0
Maine,7217.0,7420.0,7628.0,7935.0
Maryland,6993.0,7235.0,7446.0,7683.0
Massachusetts,8547.0,8902.0,9111.0,9159.0
Michigan,6386.0,6675.0,6788.0,7031.0
Minnesota,7503.0,7849.0,8184.0,8615.0
Mississippi,5673.0,5822.0,5957.0,6231.0
Missouri,6511.0,6769.0,7009.0,7279.0
Montana,6605.0,6974.0,7346.0,7581.0
Nebraska,6599.0,6934.0,7154.0,7449.0
Nevada,5153.0,5424.0,5636.0,5948.0
New Hampshire,7912.0,8260.0,8529.0,8906.0
New Jersey,6849.0,7111.0,7288.0,7591.0
New Mexico,5779.0,6108.0,6213.0,6448.0
New York,7174.0,7571.0,7957.0,8551.0
North Carolina,5581.0,5779.0,6100.0,6393.0
North Dakota,7896.0,8174.0,8445.0,8700.0
Ohio,7024.0,7281.0,7428.0,7685.0
Oklahoma,5804.0,5935.0,5997.0,6254.0
Oregon,6561.0,6834.0,7087.0,7320.0
Pennsylvania,7236.0,7478.0,7717.0,8073.0
Rhode Island,7199.0,7280.0,7360.0,7510.0
South Carolina,5592.0,5761.0,5827.0,5882.0
South Dakota,8053.0,8406.0,8820.0,9154.0
Tennessee,6010.0,6099.0,6299.0,6477.0
Texas,5585.0,5798.0,5947.0,6098.0
Utah,4720.0,5057.0,5129.0,5289.0
Vermont,8130.0,8488.0,8639.0,9076.0
Virginia,5968.0,6207.0,6386.0,6624.0
Washington,6870.0,7141.0,7420.0,7779.0
West Virginia,7154.0,7494.0,7847.0,8254.0
Wisconsin,7261.0,7520.0,7729.0,8097.0
Wyoming,6391.0,6451.0,6567.0,6722.0
