state,2015,2016,2017,2018
United States,16.756361356392706,16.952332657200813,16.861345975270027,16.818298758098088
Alabama,17.78361378594819,17.839794266120585,17.84978633135549,17.753067484662576
Alaska,21.18645936707465,21.685964722432637,22.329511164755584,22.94909047486367
Arizona,15.935014489179357,16.119664841646753,16.199123901250328,16.295326686347686
Arkansas,17.69185514446333,18.218034652839258,18.375717801476622,18.474849684704502
California,15.72785509167219,16.070882981973725,16.01950474135994,16.05542666184202
Colorado,15.396760721197921,15.619451568356677,15.19128271941253,14.868474668356953
Connecticut,15.225634401433393,15.237224423448136,14.931326508557168,14.901494116091499
Delaware,19.577058635052868,19.811184083446012,19.81145382734625,19.7492234088384
District of Columbia,16.803029513436517,16.55753040224509,16.34667857320038,16.07258792418172
Florida,16.957559681697614,17.0858584544958,16.952881964642504,16.829493535530283
Georgia,16.178708381520483,16.520658221853914,16.424996424996426,16.610940583205437
Hawaii,14.27185385015855,14.638303674916479,14.78424339333175,14.897762464365552
Idaho,17.267184035476717,17.543911613992478,17.314987826283904,17.46743888843571
Illinois,16.43027488389607,16.58699924781016,16.412666651155217,16.504380614395032
Indiana,20.342042193094063,20.880225080385852,21.153105572976838,21.117303609341825
Iowa,17.28175108170018,17.395011138307527,17.055641012040525,16.854971240755958
Kansas,17.686343970498562,17.520665836258633,17.41323537474642,17.394516716362773
Kentucky,19.068652195860675,19.31234718826406,19.146860588861298,19.11806543385491
Louisiana,18.537898493739036,18.87105864206686,18.523749135347014,18.34422778639486
Maine,17.684824425984463,17.735921216177456,17.561469748595634,17.440710376508342
Maryland,16.5506958250497,16.59670130525543,16.470900524255093,16.40965399401965
Massachusetts,17.188536953242835,17.35553302659284,17.098299741020156,16.62401306833651
Michigan,17.444751003906358,17.66106627860828,17.352625389846107,17.248062015503876
Minnesota,17.912478812041922,18.086503675369265,18.010959748233898,18.16207783446473
Mississippi,19.951466554125343,20.00068707272665,19.895130585799212,20.04632757455844
Missouri,17.895228671943713,18.151832881928616,18.1495675591693,18.170244633050423
Montana,17.295556312027024,17.77449281272301,17.946400214985463,17.754929973300857
Nebraska,17.54586546131348,17.85686693621076,17.800447872605126,17.867594147277526
Nevada,13.48246991104134,13.881353329579772,14.091056829262195,14.347050026532877
New Hampshire,16.762356729730303,17.089065894279507,17.046408442259263,17.087490406753645
New Jersey,14.360296892690904,14.49833832854201,14.41997586118201,14.396252536554837
New Mexico,17.525398028809704,18.09402494297479,17.911609536714042,17.7836615367643
New York,15.652477472563437,15.882772509859864,15.959644583508835,16.225498567389614
North Carolina,17.493652634548475,17.588872656440223,17.84721612686152,17.898538551990594
North Dakota,17.038539553752535,17.81953739835626,18.039475370615627,17.938514196168992
Ohio,18.913751783935158,19.1403785488959,18.881065555018935,18.811808479389015
Oklahoma,18.365926207202076,18.450586004290113,18.191469999393313,18.127536231884058
Oregon,17.25625312327398,17.451481103166497,17.340347443112307,17.136034833906876
Pennsylvania,17.982554238425408,18.099525607512827,18.047240411599624,18.018078339471042
Rhode Island,17.606202157059357,17.377604850452343,17.01104793602367,16.63565479354953
South Carolina,17.555646249960756,17.6037401454501,17.32318577756637,16.956383868084984
South Dakota,20.290256746201717,20.52195991308806,20.757336847803064,20.73433146843643
Tennessee,18.4974300575544,18.184799785324547,18.055953677693058,17.82333516785911
Texas,15.820633391875814,16.045829412741462,15.902770349770028,15.617876808810347
Utah,14.299130540155716,14.665197343618594,14.326415463255216,14.021367408075077
Vermont,17.93395539673086,18.281677399900925,18.042270581847042,18.17017017017017
Virginia,14.612051024655388,14.7487228228585,14.69498584807971,14.674671570039212
Washington,16.707198443579767,16.831263110754943,16.77404769978524,16.702452011852106
West Virginia,22.001476196334114,22.377497088596254,22.67656918275344,22.882648110670623
Wisconsin,19.160333544437407,19.207192480588475,19.031789416660512,19.071509327303563
Wyoming,16.211348705070645,16.28875871124129,16.047994917035265,15.718093812841976
