State,2015,2016,2017,2018
Alabama,85.78680203045685,84.97409326424871,85.71428571428571,85.87570621468926
Alaska,65.0485436893204,66.66666666666666,67.44186046511628,68.13186813186813
Arizona,82.64248704663213,84.65608465608466,83.60215053763442,84.93150684931507
Arkansas,75.2895752895753,73.19148936170212,77.98165137614679,79.29515418502203
California,72.28915662650603,72.5,72.05542725173211,72.38542890716803
Colorado,79.80295566502463,81.18279569892472,81.08108108108108,84.06593406593407
Connecticut,81.32780082987551,79.39914163090128,79.62962962962963,80.61674008810573
Delaware,74.19354838709677,68.96551724137932,75.75757575757575,94.44444444444444
District of Columbia,86.8421052631579,85.36585365853658,83.78378378378379,85.71428571428571
Florida,86.23326959847036,87.14285714285714,88.05970149253731,89.00414937759335
Georgia,86.86440677966102,87.21461187214612,89.5,87.67123287671232
Hawaii,85.1063829787234,88.88888888888889,85.71428571428571,92.10526315789474
Idaho,96.4824120603015,96.61016949152543,95.8904109589041,96.8503937007874
Illinois,87.47203579418344,89.79591836734694,90.23136246786633,89.56043956043956
Indiana,89.14473684210526,88.70431893687709,89.0909090909091,88.54166666666666
Iowa,90.96385542168674,90.96774193548387,92.0,91.48936170212765
Kansas,86.15384615384616,81.5126050420168,84.5528455284553,82.64462809917356
Kentucky,82.11009174311926,81.44796380090497,79.8076923076923,80.46511627906978
Louisiana,90.32258064516128,93.04812834224599,93.18181818181817,94.5054945054945
Maine,85.25345622119815,88.17733990147784,87.63440860215054,87.22222222222223
Maryland,91.14754098360656,91.0958904109589,91.66666666666666,90.68825910931174
Massachusetts,79.41176470588235,80.23598820058997,80.0,82.29508196721311
Michigan,90.4,89.97214484679665,90.20771513353115,89.80169971671388
Minnesota,87.65432098765432,87.5,87.5,88.08510638297872
Mississippi,76.19047619047619,79.00552486187846,79.1907514450867,83.04093567251462
Missouri,82.77310924369748,83.56164383561644,83.9622641509434,83.41232227488152
Montana,79.38144329896907,76.13636363636364,77.01149425287356,81.92771084337349
Nebraska,92.62295081967213,93.07692307692308,93.98496240601504,95.58823529411765
Nevada,78.84615384615384,76.47058823529412,76.08695652173914,77.08333333333334
New Hampshire,74.6268656716418,75.80645161290323,74.60317460317461,79.3103448275862
New Jersey,88.95522388059702,87.73584905660378,88.88888888888889,89.1373801916933
New Mexico,77.92207792207793,80.55555555555556,84.48275862068965,89.23076923076924
New York,79.18781725888326,79.82162764771459,80.54567022538552,81.53846153846153
North Carolina,70.46783625730994,70.06578947368422,70.42801556420234,72.82229965156795
North Dakota,69.6969696969697,68.75,71.875,73.52941176470588
Ohio,80.98471986417657,81.18466898954703,81.85117967332124,81.52753108348135
Oklahoma,80.66666666666666,79.72972972972973,81.11888111888112,82.87671232876713
Oregon,83.24324324324324,83.52941176470588,80.76923076923077,84.14634146341463
Pennsylvania,78.92156862745098,80.88737201365188,80.73555166374781,82.35294117647058
Puerto Rico,90.625,88.63636363636364,89.83050847457628,85.8974358974359
Rhode Island,85.9375,88.70967741935483,89.28571428571429,89.28571428571429
South Carolina,87.87878787878788,88.42975206611571,88.07339449541286,88.57142857142857
South Dakota,81.48148148148148,85.41666666666666,88.23529411764706,85.71428571428571
Tennessee,78.6624203821656,78.42465753424658,78.1021897810219,80.86642599277978
Texas,80.6282722513089,81.49171270718232,83.87096774193549,81.60237388724035
Utah,74.77477477477478,75.0,79.71014492753623,78.80794701986756
Vermont,77.63157894736842,78.94736842105263,75.67567567567568,78.08219178082192
Virginia,84.08304498269896,82.41758241758241,82.26415094339623,83.40080971659918
Washington,84.9624060150376,83.74558303886926,80.7570977917981,81.17977528089888
West Virginia,89.51612903225806,87.61061946902655,87.71929824561403,89.25619834710744
Wisconsin,89.3569844789357,89.30232558139535,90.23809523809524,90.12345679012346
Wyoming,85.18518518518519,84.31372549019608,88.09523809523809,87.5
