State,2015,2016,2017,2018
Alabama,43.14720812182741,43.523316062176164,42.857142857142854,44.632768361581924
Alaska,73.7864077669903,75.75757575757575,72.09302325581395,73.62637362637363
Arizona,49.22279792746114,47.883597883597886,48.11827956989247,49.04109589041096
Arkansas,69.88416988416989,71.06382978723404,69.72477064220183,66.51982378854625
California,50.821467688937574,49.65909090909091,49.19168591224018,48.06110458284371
Colorado,61.083743842364534,65.05376344086021,63.78378378378379,64.28571428571429
Connecticut,46.88796680497925,48.927038626609445,49.074074074074076,51.98237885462555
Delaware,38.70967741935484,51.724137931034484,63.63636363636363,61.111111111111114
District of Columbia,42.10526315789473,53.65853658536586,51.35135135135135,60.0
Florida,53.15487571701721,52.85714285714286,54.58422174840085,53.941908713692946
Georgia,63.559322033898304,64.38356164383562,66.0,66.21004566210046
Hawaii,38.297872340425535,35.55555555555556,22.857142857142858,36.84210526315789
Idaho,82.41206030150754,80.7909604519774,80.13698630136986,77.95275590551181
Illinois,50.33557046979866,56.88775510204081,54.75578406169666,54.94505494505495
Indiana,61.51315789473685,58.4717607973422,61.81818181818181,62.84722222222222
Iowa,71.08433734939759,72.25806451612902,74.66666666666667,69.50354609929079
Kansas,67.6923076923077,64.70588235294117,69.91869918699187,66.11570247933885
Kentucky,67.43119266055045,67.87330316742081,66.34615384615384,68.37209302325581
Louisiana,44.086021505376344,45.98930481283423,46.02272727272727,45.05494505494506
Maine,60.82949308755761,61.083743842364534,63.97849462365591,61.111111111111114
Maryland,56.393442622950815,58.21917808219178,58.71212121212122,59.51417004048582
Massachusetts,52.352941176470594,54.27728613569322,54.920634920634924,52.459016393442624
Michigan,66.4,67.96657381615599,66.46884272997032,67.98866855524079
Minnesota,59.67078189300411,58.333333333333336,56.25,56.17021276595745
Mississippi,52.38095238095239,54.69613259668509,54.91329479768786,57.30994152046783
Missouri,58.82352941176471,59.3607305936073,62.735849056603776,59.71563981042654
Montana,70.10309278350515,70.45454545454545,70.11494252873564,65.06024096385542
Nebraska,59.83606557377049,61.53846153846154,60.902255639097746,58.82352941176471
Nevada,59.61538461538461,62.745098039215684,71.73913043478261,68.75
New Hampshire,56.71641791044776,48.38709677419355,52.38095238095239,53.44827586206896
New Jersey,46.865671641791046,47.79874213836478,46.40522875816993,45.68690095846645
New Mexico,50.649350649350644,52.77777777777778,44.827586206896555,46.15384615384615
New York,47.10659898477157,47.82608695652174,49.70344009489917,48.63905325443787
North Carolina,49.41520467836257,52.960526315789465,52.918287937743195,57.491289198606275
North Dakota,72.72727272727273,65.625,71.875,73.52941176470588
Ohio,59.25297113752123,61.49825783972126,63.52087114337568,63.94316163410302
Oklahoma,67.33333333333333,66.8918918918919,65.73426573426573,67.8082191780822
Oregon,51.891891891891895,50.588235294117645,52.56410256410257,51.829268292682926
Pennsylvania,62.254901960784316,61.43344709897611,62.17162872154116,62.38859180035651
Puerto Rico,33.33333333333333,30.681818181818183,35.59322033898305,38.46153846153847
Rhode Island,31.25,27.419354838709676,26.785714285714285,28.57142857142857
South Carolina,56.81818181818182,57.85123966942148,55.96330275229357,57.14285714285714
South Dakota,77.77777777777779,81.25,80.3921568627451,81.63265306122449
Tennessee,64.64968152866241,67.8082191780822,69.34306569343066,68.95306859205776
Texas,54.712041884816756,53.591160220994475,52.785923753665685,50.14836795252226
Utah,54.054054054054056,55.172413793103445,55.79710144927537,56.95364238410596
Vermont,48.68421052631579,47.368421052631575,48.64864864864865,46.57534246575342
Virginia,57.43944636678201,57.14285714285714,56.9811320754717,56.2753036437247
Washington,53.383458646616546,56.53710247349824,58.67507886435332,56.17977528089888
West Virginia,70.16129032258065,69.91150442477876,74.56140350877193,72.72727272727273
Wisconsin,76.49667405764967,78.13953488372093,78.0952380952381,78.76543209876543
Wyoming,74.07407407407408,68.62745098039215,76.19047619047619,75.0
