State,2015,2016,2017,2018,Party
Arkansas,5.405405405405405,5.531914893617021,7.79816513761468,7.488986784140969,R
Wisconsin,8.425720620842572,9.30232558139535,10.952380952380953,10.617283950617285,R
North Dakota,9.090909090909092,9.375,9.375,11.76470588235294,R
Iowa,9.63855421686747,10.967741935483872,9.333333333333334,7.801418439716312,R
Idaho,11.055276381909549,12.429378531073446,13.698630136986301,11.811023622047244,R
Virginia,12.110726643598616,12.82051282051282,14.716981132075471,12.955465587044534,D
Florida,13.575525812619501,14.081632653061224,16.417910447761194,17.219917012448132,R
New Jersey,17.01492537313433,14.150943396226415,15.359477124183007,13.738019169329075,D
Alabama,14.213197969543149,14.507772020725387,11.428571428571429,11.299435028248588,R
Massachusetts,14.705882352941178,15.04424778761062,13.65079365079365,13.77049180327869,D
Alaska,13.592233009708737,16.161616161616163,20.930232558139537,20.87912087912088,R
Oklahoma,15.333333333333332,16.216216216216218,18.88111888111888,23.28767123287671,R
Pennsylvania,12.581699346405228,16.38225255972696,16.987740805604204,15.686274509803921,R
Mississippi,10.476190476190476,16.574585635359114,15.606936416184972,14.619883040935672,R
Connecticut,15.767634854771783,16.738197424892704,16.666666666666664,16.740088105726873,D
Ohio,16.808149405772497,17.247386759581882,18.51179673321234,17.939609236234457,R
North Carolina,14.035087719298245,17.434210526315788,15.953307392996107,14.982578397212542,R
Kansas,19.230769230769234,17.647058823529413,16.260162601626014,16.528925619834713,R
New Mexico,16.883116883116884,18.055555555555554,20.689655172413794,26.153846153846157,D
New York,18.17258883248731,18.06020066889632,18.386714116251483,17.159763313609467,D
Maryland,14.426229508196723,18.15068493150685,17.045454545454543,17.408906882591094,D
Louisiana,20.967741935483872,18.181818181818183,13.636363636363635,12.637362637362637,R
Nebraska,15.573770491803279,18.461538461538463,15.789473684210526,18.38235294117647,R
Tennessee,12.420382165605096,18.493150684931507,20.072992700729927,18.772563176895307,R
West Virginia,13.709677419354838,18.58407079646018,20.175438596491226,19.00826446280992,R
Georgia,13.983050847457626,18.72146118721461,26.5,27.85388127853881,R
Arizona,20.984455958549223,18.78306878306878,18.548387096774192,20.0,R
Delaware,22.58064516129032,20.689655172413794,15.151515151515152,13.88888888888889,D
Minnesota,18.106995884773664,20.833333333333336,24.553571428571427,24.680851063829788,D
Utah,19.81981981981982,21.551724137931032,26.811594202898554,26.490066225165563,R
Michigan,18.933333333333334,22.56267409470752,24.03560830860534,21.529745042492916,R
Montana,27.835051546391753,23.863636363636363,24.137931034482758,20.481927710843372,R
Missouri,24.789915966386555,24.200913242009133,23.11320754716981,21.32701421800948,R
Maine,21.19815668202765,24.63054187192118,20.43010752688172,21.666666666666668,D
Illinois,25.279642058165546,25.765306122448976,25.96401028277635,24.45054945054945,D
Indiana,23.355263157894736,26.910299003322258,22.545454545454547,21.875,R
Nevada,26.923076923076923,27.450980392156865,36.95652173913043,33.33333333333333,D
Oregon,26.486486486486488,28.823529411764703,33.97435897435898,34.756097560975604,D
District of Columbia,26.31578947368421,29.268292682926827,29.72972972972973,28.57142857142857,D
California,28.039430449069002,29.545454545454547,30.94688221709007,30.552291421856637,D
Washington,25.93984962406015,30.3886925795053,28.706624605678233,24.15730337078652,D
Kentucky,30.275229357798167,30.76923076923077,31.25,32.093023255813954,R
Texas,28.79581151832461,30.939226519337016,30.791788856304986,29.080118694362017,R
Vermont,28.947368421052634,31.57894736842105,32.432432432432435,32.87671232876712,D
South Dakota,35.18518518518518,33.33333333333333,25.49019607843137,22.448979591836736,R
Wyoming,22.22222222222222,33.33333333333333,38.095238095238095,31.25,R
New Hampshire,41.7910447761194,33.87096774193548,28.57142857142857,29.310344827586203,D
Hawaii,21.27659574468085,35.55555555555556,42.857142857142854,42.10526315789473,D
Colorado,32.51231527093596,36.02150537634409,36.21621621621622,38.46153846153847,D
South Carolina,29.545454545454547,36.36363636363637,40.36697247706422,38.095238095238095,R
Rhode Island,29.6875,38.70967741935484,44.642857142857146,44.642857142857146,D
