State,2015,2016,2017,2018
Alabama,10.65989847715736,13.989637305699482,14.285714285714285,14.689265536723164
Alaska,10.679611650485436,10.1010101010101,12.790697674418606,13.186813186813188
Arizona,63.212435233160626,62.698412698412696,59.13978494623656,60.82191780821918
Arkansas,13.127413127413126,13.191489361702127,12.844036697247708,15.418502202643172
California,73.93209200438116,75.56818181818183,76.55889145496536,77.2032902467685
Colorado,49.75369458128079,50.53763440860215,47.02702702702703,39.010989010989015
Connecticut,47.71784232365145,49.35622317596567,50.92592592592593,51.98237885462555
Delaware,45.16129032258064,37.93103448275862,48.484848484848484,41.66666666666667
District of Columbia,50.0,60.97560975609756,62.16216216216216,65.71428571428571
Florida,57.74378585086042,57.3469387755102,54.37100213219617,55.601659751037346
Georgia,22.45762711864407,27.397260273972602,25.0,22.831050228310502
Hawaii,25.53191489361702,26.666666666666668,17.142857142857142,31.57894736842105
Idaho,39.19597989949749,37.85310734463277,34.93150684931507,32.28346456692913
Illinois,27.293064876957494,30.612244897959183,29.048843187660665,29.395604395604398
Indiana,16.447368421052634,15.614617940199334,21.454545454545453,22.569444444444446
Iowa,16.265060240963855,17.419354838709676,18.666666666666668,14.893617021276595
Kansas,30.76923076923077,29.411764705882355,30.89430894308943,30.57851239669421
Kentucky,10.550458715596331,6.334841628959276,5.769230769230769,4.186046511627907
Louisiana,15.591397849462366,13.903743315508022,14.204545454545455,10.989010989010989
Maine,1.8433179723502304,2.4630541871921183,2.1505376344086025,2.2222222222222223
Maryland,20.983606557377048,22.26027397260274,23.863636363636363,23.88663967611336
Massachusetts,44.11764705882353,46.312684365781706,46.34920634920635,46.885245901639344
Michigan,17.599999999999998,17.548746518105848,16.320474777448073,17.56373937677054
Minnesota,18.51851851851852,16.666666666666664,17.857142857142858,14.893617021276595
Mississippi,10.0,11.602209944751381,10.982658959537572,9.35672514619883
Missouri,14.285714285714285,13.24200913242009,11.79245283018868,12.322274881516588
Montana,5.154639175257731,2.272727272727273,1.1494252873563218,1.2048192771084338
Nebraska,14.754098360655737,22.30769230769231,21.052631578947366,21.323529411764707
Nevada,42.30769230769231,43.13725490196079,47.82608695652174,47.91666666666667
New Hampshire,16.417910447761194,19.35483870967742,22.22222222222222,18.96551724137931
New Jersey,47.76119402985074,47.79874213836478,51.307189542483655,50.798722044728436
New Mexico,62.33766233766234,63.888888888888886,62.06896551724138,67.6923076923077
New York,45.98984771573604,46.3768115942029,46.144721233689204,47.81065088757396
North Carolina,21.052631578947366,22.697368421052634,20.233463035019454,20.905923344947734
North Dakota,9.090909090909092,3.125,0.0,2.941176470588235
Ohio,14.431239388794568,16.02787456445993,15.245009074410163,15.2753108348135
Oklahoma,28.666666666666668,25.675675675675674,25.874125874125873,25.34246575342466
Oregon,37.83783783783784,38.82352941176471,41.66666666666667,40.853658536585364
Pennsylvania,23.366013071895424,23.549488054607508,24.86865148861646,25.846702317290553
Puerto Rico,73.95833333333334,89.77272727272727,83.05084745762711,84.61538461538461
Rhode Island,32.8125,41.935483870967744,42.857142857142854,35.714285714285715
South Carolina,21.96969696969697,19.834710743801654,18.34862385321101,16.19047619047619
South Dakota,12.962962962962962,14.583333333333334,15.686274509803921,12.244897959183673
Tennessee,7.961783439490445,9.58904109589041,10.948905109489052,8.303249097472925
Texas,57.32984293193717,57.73480662983425,58.94428152492669,61.12759643916914
Utah,44.14414414414414,48.275862068965516,40.57971014492754,44.370860927152314
Vermont,7.894736842105263,13.157894736842104,5.405405405405405,5.47945205479452
Virginia,19.377162629757784,24.90842490842491,26.79245283018868,26.31578947368421
Washington,32.33082706766917,34.62897526501767,32.17665615141956,26.96629213483146
West Virginia,8.870967741935484,7.079646017699115,8.771929824561402,4.132231404958678
Wisconsin,15.96452328159645,15.813953488372093,15.476190476190476,17.28395061728395
Wyoming,24.074074074074073,27.450980392156865,42.857142857142854,27.083333333333332
