State,2015,2016,2017,2018,Party
South Carolina,29.545454545454547,28.92561983471074,26.605504587155966,39.04761904761905,R
Wisconsin,31.263858093126384,29.069767441860467,30.714285714285715,31.851851851851855,R
Massachusetts,35.88235294117647,36.283185840707965,33.33333333333333,35.40983606557377,D
Kentucky,33.94495412844037,36.65158371040724,50.480769230769226,46.04651162790698,R
Rhode Island,26.5625,37.096774193548384,37.5,37.5,D
Iowa,36.144578313253014,38.064516129032256,40.666666666666664,40.42553191489361,R
Tennessee,36.30573248407643,38.35616438356164,39.78102189781022,42.59927797833935,R
Maine,42.857142857142854,40.39408866995074,38.17204301075269,36.666666666666664,D
Arizona,33.41968911917099,41.00529100529101,40.053763440860216,43.56164383561644,R
Minnesota,43.20987654320987,42.083333333333336,40.625,41.27659574468085,D
North Dakota,45.45454545454545,43.75,46.875,44.11764705882353,R
North Carolina,42.98245614035088,45.06578947368421,39.688715953307394,41.46341463414634,R
Indiana,38.81578947368421,45.51495016611295,46.18181818181818,45.13888888888889,R
Pennsylvania,47.05882352941176,45.563139931740615,43.78283712784589,42.60249554367201,R
New Hampshire,46.26865671641791,46.774193548387096,49.2063492063492,44.827586206896555,D
Virginia,42.90657439446367,46.88644688644688,49.43396226415094,53.036437246963565,D
Michigan,49.06666666666666,47.63231197771588,45.103857566765576,45.3257790368272,R
Oregon,47.02702702702703,47.647058823529406,45.51282051282051,45.73170731707317,D
Delaware,61.29032258064516,48.275862068965516,39.39393939393939,50.0,D
Montana,55.670103092783506,48.86363636363637,56.32183908045977,59.036144578313255,R
Utah,46.846846846846844,49.137931034482754,39.85507246376812,39.0728476821192,R
Maryland,46.22950819672131,49.65753424657534,45.45454545454545,44.12955465587044,D
Louisiana,50.0,50.26737967914438,48.86363636363637,45.05494505494506,R
Mississippi,46.19047619047619,50.27624309392266,50.28901734104046,48.53801169590643,R
Connecticut,51.037344398340245,51.072961373390555,53.24074074074075,58.590308370044056,D
District of Columbia,50.0,51.21951219512195,51.35135135135135,51.42857142857142,D
Illinois,48.54586129753915,51.53061224489795,50.6426735218509,53.2967032967033,D
Kansas,54.61538461538461,52.10084033613446,55.28455284552846,57.85123966942148,R
California,52.902519167579406,52.5,53.002309468822176,49.94124559341951,D
Florida,53.15487571701721,53.265306122448976,50.10660980810234,51.45228215767634,R
Arkansas,54.440154440154444,53.61702127659574,50.0,44.49339207048458,R
Vermont,57.89473684210527,55.26315789473685,48.64864864864865,49.31506849315068,D
Washington,51.8796992481203,55.830388692579504,56.15141955835961,50.0,D
Texas,56.80628272251309,57.73480662983425,55.718475073313776,54.3026706231454,R
Nebraska,49.18032786885246,58.46153846153847,57.14285714285714,55.14705882352941,R
New York,55.83756345177665,58.751393534002226,59.31198102016607,57.75147928994083,D
New Jersey,58.507462686567166,59.74842767295597,56.209150326797385,55.27156549520767,D
New Mexico,54.54545454545454,61.111111111111114,65.51724137931035,63.07692307692307,D
Ohio,60.95076400679117,61.14982578397212,60.254083484573506,58.43694493783303,R
Georgia,57.6271186440678,61.64383561643836,60.0,61.64383561643836,R
Alabama,63.45177664974619,61.6580310880829,61.142857142857146,62.14689265536724,R
Idaho,58.79396984924623,62.14689265536724,65.06849315068493,63.77952755905512,R
Alaska,59.22330097087378,62.62626262626263,58.139534883720934,61.53846153846154,R
Wyoming,66.66666666666666,62.745098039215684,64.28571428571429,64.58333333333334,R
South Dakota,66.66666666666666,64.58333333333334,64.70588235294117,63.26530612244898,R
Colorado,59.11330049261084,65.05376344086021,63.24324324324324,58.791208791208796,D
Missouri,64.70588235294117,65.75342465753424,69.33962264150944,67.29857819905213,R
Nevada,65.38461538461539,66.66666666666666,65.21739130434783,66.66666666666666,D
West Virginia,66.12903225806451,69.91150442477876,70.17543859649122,69.42148760330579,R
Oklahoma,70.66666666666667,70.94594594594594,67.83216783216784,71.23287671232876,R
Hawaii,72.3404255319149,77.77777777777779,71.42857142857143,60.526315789473685,D
