State,2015,2016,2017,2018
Alabama,87.30964467005076,84.97409326424871,85.14285714285714,84.7457627118644
Alaska,62.13592233009708,64.64646464646465,65.11627906976744,64.83516483516483
Arizona,78.49740932642487,81.48148148148148,82.25806451612904,82.73972602739727
Arkansas,74.13127413127413,70.63829787234043,75.22935779816514,74.00881057268722
California,59.91237677984665,60.68181818181818,60.969976905311775,61.104582843713274
Colorado,74.38423645320196,76.34408602150538,77.83783783783784,80.21978021978022
Connecticut,76.34854771784232,75.10729613733905,75.92592592592592,74.8898678414097
Delaware,70.96774193548387,65.51724137931035,69.6969696969697,77.77777777777779
District of Columbia,81.57894736842105,82.92682926829268,81.08108108108108,85.71428571428571
Florida,81.26195028680688,82.6530612244898,83.15565031982942,83.60995850622407
Georgia,84.7457627118644,84.01826484018264,85.5,82.64840182648402
Hawaii,87.2340425531915,91.11111111111111,88.57142857142857,92.10526315789474
Idaho,91.4572864321608,93.22033898305084,93.83561643835617,94.48818897637796
Illinois,86.12975391498881,87.75510204081633,88.68894601542416,88.46153846153845
Indiana,89.14473684210526,89.70099667774086,89.81818181818181,88.19444444444444
Iowa,90.36144578313254,91.61290322580645,92.0,90.0709219858156
Kansas,84.61538461538461,84.87394957983193,86.1788617886179,85.12396694214877
Kentucky,81.65137614678899,80.54298642533936,79.32692307692307,79.53488372093022
Louisiana,88.17204301075269,89.3048128342246,87.5,90.65934065934066
Maine,80.64516129032258,82.26600985221675,82.25806451612904,82.77777777777777
Maryland,79.67213114754098,81.5068493150685,82.57575757575758,81.37651821862349
Massachusetts,75.88235294117646,76.40117994100295,77.14285714285715,79.34426229508198
Michigan,89.60000000000001,89.97214484679665,89.61424332344214,89.80169971671388
Minnesota,83.53909465020575,84.16666666666667,84.375,84.68085106382979
Mississippi,77.61904761904762,80.66298342541437,81.5028901734104,83.04093567251462
Missouri,80.25210084033614,81.7351598173516,83.01886792452831,82.46445497630332
Montana,77.31958762886599,75.0,74.71264367816092,77.10843373493977
Nebraska,82.78688524590164,85.38461538461539,90.97744360902256,91.91176470588235
Nevada,82.6923076923077,78.43137254901961,78.26086956521739,81.25
New Hampshire,68.65671641791045,69.35483870967742,71.42857142857143,74.13793103448276
New Jersey,83.88059701492537,83.33333333333334,83.66013071895425,83.70607028753993
New Mexico,79.22077922077922,79.16666666666666,81.03448275862068,84.61538461538461
New York,76.85279187817258,77.48049052396878,78.41043890865956,78.93491124260355
North Carolina,65.2046783625731,64.47368421052632,66.53696498054474,67.59581881533101
North Dakota,69.6969696969697,65.625,68.75,67.64705882352942
Ohio,76.06112054329371,75.9581881533101,76.95099818511797,77.61989342806395
Oklahoma,83.33333333333334,81.08108108108108,80.41958041958041,82.1917808219178
Oregon,75.13513513513513,78.23529411764706,75.0,76.21951219512195
Pennsylvania,76.47058823529412,78.839590443686,78.28371278458845,81.28342245989305
Puerto Rico,79.16666666666666,77.27272727272727,79.66101694915254,76.92307692307693
Rhode Island,81.25,85.48387096774194,85.71428571428571,85.71428571428571
South Carolina,87.12121212121212,86.77685950413223,86.23853211009175,85.71428571428571
South Dakota,81.48148148148148,85.41666666666666,86.27450980392157,85.71428571428571
Tennessee,80.57324840764332,79.7945205479452,80.2919708029197,81.94945848375451
Texas,82.72251308900523,83.97790055248619,85.63049853372434,85.45994065281899
Utah,74.77477477477478,75.86206896551724,73.91304347826086,74.17218543046357
Vermont,69.73684210526315,75.0,72.97297297297297,71.23287671232876
Virginia,81.66089965397923,78.3882783882784,78.49056603773586,79.75708502024291
Washington,80.82706766917293,79.15194346289752,76.02523659305994,77.24719101123596
West Virginia,83.87096774193549,82.30088495575221,84.21052631578947,86.77685950413223
Wisconsin,86.91796008869179,87.44186046511628,88.80952380952381,87.65432098765432
Wyoming,83.33333333333334,82.35294117647058,88.09523809523809,87.5
