,State,2015,2016,2017
0,Alabama,14.9,16.6,16.6
1,Alaska,26.9,27.0,27.0
2,Arizona,18.2,18.2,18.2
3,Arkansas,19.1,20.8,20.8
4,California,10.3,10.5,10.5
5,Colorado,19.5,20.3,20.3
6,Connecticut,9.9,10.5,10.5
7,Delaware,12.6,11.6,11.6
8,Florida,14.4,14.0,14.0
9,Georgia,12.7,13.6,13.6
10,Hawaii,13.5,15.2,15.2
11,Idaho,22.1,23.2,23.2
12,Illinois,10.3,11.2,11.2
13,Indiana,14.4,16.3,16.3
14,Iowa,13.9,15.0,15.0
15,Kansas,16.3,19.1,19.1
16,Kentucky,17.1,16.9,16.9
17,Louisiana,15.2,15.2,15.2
18,Maine,16.0,18.9,18.9
19,Maryland,8.8,9.8,9.8
20,Massachusetts,8.9,9.5,9.5
21,Michigan,13.8,14.1,14.1
22,Minnesota,13.2,13.8,13.8
23,Mississippi,14.0,15.0,15.0
24,Missouri,17.1,18.5,18.5
25,Montana,25.3,28.9,28.9
26,Nebraska,11.7,14.7,14.7
27,Nevada,18.4,20.3,20.3
28,New Hampshire,16.5,18.9,18.9
29,New Jersey,8.3,8.3,8.3
30,New Mexico,23.7,23.3,23.3
31,New York,7.8,8.1,8.1
32,North Carolina,13.4,14.3,14.3
33,North Dakota,17.5,20.1,20.1
34,Ohio,13.9,14.8,14.8
35,Oklahoma,20.3,19.1,19.1
36,Oregon,17.8,19.0,19.0
37,Pennsylvania,14.0,15.0,15.0
38,Rhode Island,11.2,11.8,11.8
39,South Carolina,14.8,16.3,16.3
40,South Dakota,20.4,22.5,22.5
41,Tennessee,15.7,16.8,16.8
42,Texas,12.5,13.4,13.4
43,Utah,22.4,22.7,22.7
44,Vermont,14.8,18.3,18.3
45,Virginia,12.7,13.4,13.4
46,Washington,15.4,16.9,16.9
47,West Virginia,17.4,21.1,21.1
48,Wisconsin,14.7,15.4,15.4
49,Wyoming,28.0,26.9,26.9
