,state,RATE
0,Alabama,16.6
1,Alaska,27.0
2,Arizona,18.2
3,Arkansas,20.8
4,California,10.5
5,Colorado,20.3
6,Connecticut,10.5
7,Delaware,11.6
8,Florida,14.0
9,Georgia,13.6
10,Hawaii,15.2
11,Idaho,23.2
12,Illinois,11.2
13,Indiana,16.3
14,Iowa,15.0
15,Kansas,19.1
16,Kentucky,16.9
17,Louisiana,15.2
18,Maine,18.9
19,Maryland,9.8
20,Massachusetts,9.5
21,Michigan,14.1
22,Minnesota,13.8
23,Mississippi,15.0
24,Missouri,18.5
25,Montana,28.9
26,Nebraska,14.7
27,Nevada,20.3
28,New Hampshire,18.9
29,New Jersey,8.3
30,New Mexico,23.3
31,New York,8.1
32,North Carolina,14.3
33,North Dakota,20.1
34,Ohio,14.8
35,Oklahoma,19.1
36,Oregon,19.0
37,Pennsylvania,15.0
38,Rhode Island,11.8
39,South Carolina,16.3
40,South Dakota,22.5
41,Tennessee,16.8
42,Texas,13.4
43,Utah,22.7
44,Vermont,18.3
45,Virginia,13.4
46,Washington,16.9
47,West Virginia,21.1
48,Wisconsin,15.4
49,Wyoming,26.9
50,Alabama,15.7
51,Alaska,25.8
52,Arizona,17.7
53,Arkansas,18.2
54,California,10.5
55,Colorado,20.5
56,Connecticut,10.1
57,Delaware,11.5
58,Florida,14.0
59,Georgia,13.3
60,Hawaii,12.1
61,Idaho,21.4
62,Illinois,10.7
63,Indiana,15.4
64,Iowa,14.6
65,Kansas,17.9
66,Kentucky,16.8
67,Louisiana,14.2
68,Maine,15.9
69,Maryland,9.4
70,Massachusetts,8.8
71,Michigan,13.3
72,Minnesota,13.2
73,Mississippi,12.7
74,Missouri,18.4
75,Montana,25.9
76,Nebraska,13.1
77,Nevada,21.4
78,New Hampshire,17.2
79,New Jersey,7.2
80,New Mexico,22.5
81,New York,8.1
82,North Carolina,13.0
83,North Dakota,19.0
84,Ohio,14.2
85,Oklahoma,21.0
86,Oregon,17.8
87,Pennsylvania,14.7
88,Rhode Island,11.2
89,South Carolina,15.7
90,South Dakota,20.2
91,Tennessee,16.3
92,Texas,12.6
93,Utah,21.8
94,Vermont,17.3
95,Virginia,13.2
96,Washington,14.9
97,West Virginia,19.3
98,Wisconsin,14.7
99,Wyoming,25.2
100,Alabama,14.9
101,Alaska,26.9
102,Arizona,18.2
103,Arkansas,19.1
104,California,10.3
105,Colorado,19.5
106,Connecticut,9.9
107,Delaware,12.6
108,Florida,14.4
109,Georgia,12.7
110,Hawaii,13.5
111,Idaho,22.1
112,Illinois,10.3
113,Indiana,14.4
114,Iowa,13.9
115,Kansas,16.3
116,Kentucky,17.1
117,Louisiana,15.2
118,Maine,16.0
119,Maryland,8.8
120,Massachusetts,8.9
121,Michigan,13.8
122,Minnesota,13.2
123,Mississippi,14.0
124,Missouri,17.1
