State,2015,2016,2017,2018
Alabama,83.24873096446701,82.38341968911918,80.57142857142857,80.7909604519774
Alaska,79.6116504854369,81.81818181818183,80.23255813953489,80.21978021978022
Arizona,85.23316062176166,87.03703703703704,85.48387096774194,87.3972602739726
Arkansas,76.44787644787645,74.8936170212766,80.27522935779817,81.05726872246696
California,83.6801752464403,85.22727272727273,85.79676674364896,86.48648648648648
Colorado,82.26600985221675,85.48387096774194,84.32432432432432,88.46153846153845
Connecticut,84.23236514522821,84.12017167381974,82.4074074074074,82.37885462555066
Delaware,83.87096774193549,86.20689655172413,90.9090909090909,94.44444444444444
District of Columbia,92.10526315789474,90.2439024390244,94.5945945945946,94.28571428571428
Florida,87.95411089866157,88.77551020408163,89.76545842217483,89.83402489626556
Georgia,89.83050847457628,92.23744292237443,94.5,92.23744292237443
Hawaii,93.61702127659575,95.55555555555556,94.28571428571428,100.0
Idaho,95.47738693467338,96.045197740113,95.8904109589041,96.8503937007874
Illinois,88.14317673378076,90.05102040816327,89.97429305912597,89.83516483516483
Indiana,92.76315789473685,92.02657807308971,91.27272727272727,89.93055555555556
Iowa,92.7710843373494,93.54838709677419,94.66666666666667,93.61702127659575
Kansas,83.07692307692308,81.5126050420168,85.36585365853658,84.29752066115702
Kentucky,83.02752293577981,84.16289592760181,82.21153846153845,82.7906976744186
Louisiana,80.64516129032258,85.56149732620321,85.22727272727273,82.96703296703298
Maine,89.40092165898618,88.66995073891626,88.70967741935483,88.88888888888889
Maryland,89.50819672131148,92.46575342465754,93.93939393939394,92.71255060728745
Massachusetts,81.47058823529412,84.95575221238938,84.76190476190476,86.22950819672131
Michigan,90.13333333333333,92.47910863509749,92.28486646884274,93.48441926345609
Minnesota,88.88888888888889,88.33333333333333,87.5,88.51063829787233
Mississippi,72.85714285714285,77.34806629834254,78.03468208092485,77.77777777777779
Missouri,82.77310924369748,85.38812785388129,84.43396226415094,85.30805687203792
Montana,84.5360824742268,81.81818181818183,80.45977011494253,83.13253012048193
Nebraska,92.62295081967213,93.84615384615384,93.23308270676691,95.58823529411765
Nevada,76.92307692307693,76.47058823529412,78.26086956521739,83.33333333333334
New Hampshire,76.11940298507463,82.25806451612904,80.95238095238095,84.48275862068965
New Jersey,90.74626865671642,91.82389937106919,92.15686274509804,92.33226837060703
New Mexico,80.51948051948052,80.55555555555556,89.65517241379311,92.3076923076923
New York,83.4517766497462,86.17614269788183,85.76512455516014,86.62721893491124
North Carolina,71.9298245614035,72.69736842105263,73.92996108949417,75.26132404181185
North Dakota,69.6969696969697,68.75,71.875,73.52941176470588
Ohio,88.45500848896435,87.97909407665504,88.56624319419237,89.34280639431617
Oklahoma,77.33333333333333,77.7027027027027,78.32167832167832,80.82191780821918
Oregon,83.24324324324324,85.88235294117646,82.6923076923077,85.36585365853658
Pennsylvania,83.98692810457517,86.00682593856655,86.51488616462348,87.34402852049911
Puerto Rico,76.04166666666666,79.54545454545455,81.35593220338984,79.48717948717949
Rhode Island,92.1875,91.93548387096774,92.85714285714286,91.07142857142857
South Carolina,86.36363636363636,87.60330578512396,86.23853211009175,89.52380952380953
South Dakota,81.48148148148148,85.41666666666666,88.23529411764706,89.79591836734694
Tennessee,82.48407643312102,82.53424657534246,82.11678832116789,83.75451263537906
Texas,77.22513089005236,78.1767955801105,80.64516129032258,80.1186943620178
Utah,75.67567567567568,77.58620689655173,80.43478260869566,80.79470198675497
Vermont,84.21052631578947,86.8421052631579,85.13513513513513,82.1917808219178
Virginia,85.81314878892734,87.91208791208791,87.54716981132076,88.25910931174089
Washington,94.73684210526315,95.75971731448763,92.74447949526814,93.25842696629213
West Virginia,93.54838709677419,92.92035398230088,91.22807017543859,92.56198347107438
Wisconsin,91.13082039911308,92.32558139534883,92.85714285714286,93.08641975308643
Wyoming,85.18518518518519,90.19607843137256,92.85714285714286,89.58333333333334
