State,2015 Estimation of 0-17 Population Percentage,2015 Estimation of 18-64 Population Percentage,2015 Estimation of 65+ Population Percentage,2016 Estimation of 0-17 Population Percentage,2016 Estimation of 18-64 Population Percentage,2016 Estimation of 65+ Population Percentage,2017 Estimation of 0-17 Population Percentage,2017 Estimation of 18-64 Population Percentage,2017 Estimation of 65+ Population Percentage,2018 Estimation of 0-17 Population Percentage,2018 Estimation of 18-64 Population Percentage,2018 Estimation of 65+ Population Percentage
Alabama,22.8,61.5,15.7,22.6,61.300000000000004,16.1,22.4,61.099999999999994,16.5,22.3,60.7,17.0
Alaska,25.200000000000003,65.2,9.6,25.299999999999997,64.6,10.2,25.0,63.8,11.2,24.9,63.199999999999996,11.9
Arizona,23.7,59.9,16.4,23.5,59.6,16.9,23.3,59.6,17.1,22.9,59.49999999999999,17.6
Arkansas,23.7,60.199999999999996,16.1,23.6,60.0,16.3,23.6,59.900000000000006,16.5,23.4,59.8,16.8
California,23.3,63.400000000000006,13.3,23.099999999999998,63.199999999999996,13.6,22.9,63.199999999999996,13.9,22.7,63.0,14.3
Colorado,23.0,64.0,13.0,22.7,63.800000000000004,13.4,22.5,63.7,13.8,22.2,63.599999999999994,14.2
Connecticut,21.2,63.0,15.7,21.1,62.9,16.1,20.7,62.5,16.8,20.6,62.2,17.2
Delaware,21.599999999999998,61.400000000000006,17.0,21.5,61.0,17.5,21.2,60.8,18.0,21.0,60.3,18.7
District of Columbia,17.5,71.1,11.4,17.7,70.7,11.6,18.0,69.9,12.1,18.1,69.7,12.2
Florida,20.300000000000004,60.3,19.5,20.1,60.10000000000001,19.8,20.0,59.9,20.1,19.8,59.7,20.5
Georgia,24.599999999999998,62.7,12.8,24.400000000000002,62.39999999999999,13.2,24.1,62.50000000000001,13.4,23.8,62.400000000000006,13.8
Hawaii,21.7,61.699999999999996,16.6,21.6,61.5,17.0,21.4,60.8,17.8,21.3,60.300000000000004,18.4
Idaho,26.1,59.2,14.7,25.9,58.89999999999999,15.2,25.8,58.900000000000006,15.3,25.4,58.699999999999996,15.9
Illinois,23.1,62.8,14.2,22.8,62.6,14.6,22.6,62.2,15.2,22.4,61.99999999999999,15.6
Indiana,23.9,61.49999999999999,14.6,23.8,61.2,15.0,23.6,61.00000000000001,15.4,23.4,60.89999999999999,15.7
Iowa,23.3,60.7,16.0,23.2,60.4,16.4,23.2,60.099999999999994,16.7,23.2,59.8,17.0
Kansas,24.8,60.699999999999996,14.6,24.6,60.300000000000004,15.1,24.5,60.1,15.4,24.2,59.9,15.9
Kentucky,22.799999999999997,62.0,15.2,22.9,61.7,15.5,22.8,61.300000000000004,15.9,22.6,61.00000000000001,16.4
Louisiana,23.9,62.099999999999994,14.0,23.9,61.699999999999996,14.4,23.7,61.4,14.9,23.6,60.900000000000006,15.5
Maine,19.3,62.0,18.8,19.1,61.60000000000001,19.3,19.0,61.0,20.0,18.6,60.800000000000004,20.6
Maryland,22.5,63.49999999999999,14.1,22.4,62.99999999999999,14.6,22.3,62.800000000000004,14.9,22.1,62.50000000000001,15.4
Massachusetts,20.400000000000002,64.19999999999999,15.4,20.3,64.0,15.8,20.0,63.9,16.1,19.8,63.7,16.5
Michigan,22.299999999999997,61.900000000000006,15.8,22.1,61.7,16.2,21.8,61.5,16.7,21.7,61.099999999999994,17.2
Minnesota,23.4,61.89999999999999,14.7,23.4,61.7,15.0,23.3,61.300000000000004,15.4,23.2,61.0,15.8
Mississippi,24.299999999999997,61.0,14.7,24.200000000000003,60.8,15.0,23.9,60.49999999999999,15.6,23.6,60.50000000000001,15.9
Missouri,23.0,61.49999999999999,15.6,22.9,61.2,16.0,22.7,60.8,16.5,22.5,60.6,16.9
Montana,21.9,60.8,17.3,22.0,60.49999999999999,17.6,21.9,59.99999999999999,18.1,21.6,59.60000000000001,18.8
Nebraska,24.8,60.5,14.7,24.8,60.099999999999994,15.0,24.7,59.9,15.4,24.6,59.60000000000001,15.8
Nevada,23.099999999999998,62.300000000000004,14.6,23.0,62.0,15.0,22.8,61.900000000000006,15.3,22.7,61.599999999999994,15.7
New Hampshire,19.8,63.800000000000004,16.4,19.5,63.5,17.0,19.2,63.199999999999996,17.6,19.0,62.9,18.1
New Jersey,22.3,62.7,15.0,22.2,62.5,15.3,22.0,62.3,15.7,21.9,61.99999999999999,16.1
New Mexico,23.9,60.1,15.9,23.5,60.1,16.4,23.5,59.7,16.8,22.9,59.49999999999999,17.6
New York,21.3,63.7,15.0,21.2,63.5,15.3,20.9,63.199999999999996,15.9,20.8,62.800000000000004,16.4
North Carolina,22.799999999999997,62.1,15.1,22.6,61.900000000000006,15.5,22.4,61.699999999999996,15.9,22.1,61.60000000000001,16.3
North Dakota,22.6,63.2,14.2,23.0,62.5,14.5,22.9,62.199999999999996,14.9,23.0,61.7,15.3
Ohio,22.6,61.60000000000001,15.8,22.5,61.3,16.2,22.3,61.1,16.6,22.2,60.699999999999996,17.1
Oklahoma,24.5,60.7,14.7,24.5,60.5,15.0,24.5,60.2,15.3,24.3,60.0,15.7
Oregon,21.4,62.199999999999996,16.4,21.2,62.0,16.8,21.1,61.800000000000004,17.1,20.8,61.6,17.6
Pennsylvania,20.999999999999996,62.0,17.0,20.9,61.699999999999996,17.4,20.8,61.400000000000006,17.8,20.7,61.099999999999994,18.2
Rhode Island,20.0,63.800000000000004,16.1,19.8,63.8,16.5,19.5,63.8,16.7,19.3,63.400000000000006,17.3
South Carolina,22.2,61.599999999999994,16.2,22.099999999999998,61.099999999999994,16.7,21.9,60.89999999999999,17.2,21.7,60.599999999999994,17.7
South Dakota,24.4,59.89999999999999,15.7,24.6,59.4,15.9,24.5,59.2,16.3,24.3,59.1,16.6
Tennessee,22.599999999999998,62.00000000000001,15.4,22.599999999999998,61.7,15.7,22.5,61.6,15.9,22.3,61.400000000000006,16.3
Texas,26.3,62.099999999999994,11.7,26.2,61.8,12.0,26.0,61.8,12.2,25.8,61.7,12.5
Utah,30.400000000000002,59.2,10.3,30.200000000000003,59.3,10.5,29.8,59.400000000000006,10.8,29.5,59.4,11.1
Vermont,19.2,63.199999999999996,17.6,19.0,62.8,18.2,18.9,62.3,18.8,18.4,61.8,19.8
Virginia,22.3,63.5,14.2,22.2,63.199999999999996,14.6,22.1,62.900000000000006,15.0,22.0,62.5,15.5
Washington,22.5,63.0,14.5,22.4,62.8,14.8,22.2,62.699999999999996,15.1,22.1,62.50000000000001,15.4
West Virginia,20.5,61.2,18.2,20.6,60.60000000000001,18.8,20.6,60.10000000000001,19.3,20.1,59.900000000000006,20.0
Wisconsin,22.4,61.99999999999999,15.6,22.299999999999997,61.8,16.0,22.1,61.400000000000006,16.5,21.9,61.099999999999994,17.0
Wyoming,23.8,62.1,14.1,24.099999999999998,60.900000000000006,15.0,23.8,60.6,15.6,23.0,60.3,16.7
Puerto Rico,21.200000000000003,60.8,18.0,20.4,60.699999999999996,18.9,19.7,60.599999999999994,19.7,18.6,60.7,20.7
