State,2015,2016,2017,2018
Alabama,61.5,61.300000000000004,61.099999999999994,60.7
Alaska,65.2,64.6,63.8,63.199999999999996
Arizona,59.9,59.6,59.6,59.49999999999999
Arkansas,60.199999999999996,60.0,59.900000000000006,59.8
California,63.400000000000006,63.199999999999996,63.199999999999996,63.0
Colorado,64.0,63.800000000000004,63.7,63.599999999999994
Connecticut,63.0,62.9,62.5,62.2
Delaware,61.400000000000006,61.0,60.8,60.3
District of Columbia,71.1,70.7,69.9,69.7
Florida,60.3,60.10000000000001,59.9,59.7
Georgia,62.7,62.39999999999999,62.50000000000001,62.400000000000006
Hawaii,61.699999999999996,61.5,60.8,60.300000000000004
Idaho,59.2,58.89999999999999,58.900000000000006,58.699999999999996
Illinois,62.8,62.6,62.2,61.99999999999999
Indiana,61.49999999999999,61.2,61.00000000000001,60.89999999999999
Iowa,60.7,60.4,60.099999999999994,59.8
Kansas,60.699999999999996,60.300000000000004,60.1,59.9
Kentucky,62.0,61.7,61.300000000000004,61.00000000000001
Louisiana,62.099999999999994,61.699999999999996,61.4,60.900000000000006
Maine,62.0,61.60000000000001,61.0,60.800000000000004
Maryland,63.49999999999999,62.99999999999999,62.800000000000004,62.50000000000001
Massachusetts,64.19999999999999,64.0,63.9,63.7
Michigan,61.900000000000006,61.7,61.5,61.099999999999994
Minnesota,61.89999999999999,61.7,61.300000000000004,61.0
Mississippi,61.0,60.8,60.49999999999999,60.50000000000001
Missouri,61.49999999999999,61.2,60.8,60.6
Montana,60.8,60.49999999999999,59.99999999999999,59.60000000000001
Nebraska,60.5,60.099999999999994,59.9,59.60000000000001
Nevada,62.300000000000004,62.0,61.900000000000006,61.599999999999994
New Hampshire,63.800000000000004,63.5,63.199999999999996,62.9
New Jersey,62.7,62.5,62.3,61.99999999999999
New Mexico,60.1,60.1,59.7,59.49999999999999
New York,63.7,63.5,63.199999999999996,62.800000000000004
North Carolina,62.1,61.900000000000006,61.699999999999996,61.60000000000001
North Dakota,63.2,62.5,62.199999999999996,61.7
Ohio,61.60000000000001,61.3,61.1,60.699999999999996
Oklahoma,60.7,60.5,60.2,60.0
Oregon,62.199999999999996,62.0,61.800000000000004,61.6
Pennsylvania,62.0,61.699999999999996,61.400000000000006,61.099999999999994
Rhode Island,63.800000000000004,63.8,63.8,63.400000000000006
South Carolina,61.599999999999994,61.099999999999994,60.89999999999999,60.599999999999994
South Dakota,59.89999999999999,59.4,59.2,59.1
Tennessee,62.00000000000001,61.7,61.6,61.400000000000006
Texas,62.099999999999994,61.8,61.8,61.7
Utah,59.2,59.3,59.400000000000006,59.4
Vermont,63.199999999999996,62.8,62.3,61.8
Virginia,63.5,63.199999999999996,62.900000000000006,62.5
Washington,63.0,62.8,62.699999999999996,62.50000000000001
West Virginia,61.2,60.60000000000001,60.10000000000001,59.900000000000006
Wisconsin,61.99999999999999,61.8,61.400000000000006,61.099999999999994
Wyoming,62.1,60.900000000000006,60.6,60.3
Puerto Rico,60.8,60.699999999999996,60.599999999999994,60.7
