State,2015,2016,2017,2018
Alabama,15.7,16.1,16.5,17.0
Alaska,9.6,10.2,11.2,11.9
Arizona,16.4,16.9,17.1,17.6
Arkansas,16.1,16.3,16.5,16.8
California,13.3,13.6,13.9,14.3
Colorado,13.0,13.4,13.8,14.2
Connecticut,15.7,16.1,16.8,17.2
Delaware,17.0,17.5,18.0,18.7
District of Columbia,11.4,11.6,12.1,12.2
Florida,19.5,19.8,20.1,20.5
Georgia,12.8,13.2,13.4,13.8
Hawaii,16.6,17.0,17.8,18.4
Idaho,14.7,15.2,15.3,15.9
Illinois,14.2,14.6,15.2,15.6
Indiana,14.6,15.0,15.4,15.7
Iowa,16.0,16.4,16.7,17.0
Kansas,14.6,15.1,15.4,15.9
Kentucky,15.2,15.5,15.9,16.4
Louisiana,14.0,14.4,14.9,15.5
Maine,18.8,19.3,20.0,20.6
Maryland,14.1,14.6,14.9,15.4
Massachusetts,15.4,15.8,16.1,16.5
Michigan,15.8,16.2,16.7,17.2
Minnesota,14.7,15.0,15.4,15.8
Mississippi,14.7,15.0,15.6,15.9
Missouri,15.6,16.0,16.5,16.9
Montana,17.3,17.6,18.1,18.8
Nebraska,14.7,15.0,15.4,15.8
Nevada,14.6,15.0,15.3,15.7
New Hampshire,16.4,17.0,17.6,18.1
New Jersey,15.0,15.3,15.7,16.1
New Mexico,15.9,16.4,16.8,17.6
New York,15.0,15.3,15.9,16.4
North Carolina,15.1,15.5,15.9,16.3
North Dakota,14.2,14.5,14.9,15.3
Ohio,15.8,16.2,16.6,17.1
Oklahoma,14.7,15.0,15.3,15.7
Oregon,16.4,16.8,17.1,17.6
Pennsylvania,17.0,17.4,17.8,18.2
Rhode Island,16.1,16.5,16.7,17.3
South Carolina,16.2,16.7,17.2,17.7
South Dakota,15.7,15.9,16.3,16.6
Tennessee,15.4,15.7,15.9,16.3
Texas,11.7,12.0,12.2,12.5
Utah,10.3,10.5,10.8,11.1
Vermont,17.6,18.2,18.8,19.8
Virginia,14.2,14.6,15.0,15.5
Washington,14.5,14.8,15.1,15.4
West Virginia,18.2,18.8,19.3,20.0
Wisconsin,15.6,16.0,16.5,17.0
Wyoming,14.1,15.0,15.6,16.7
Puerto Rico,18.0,18.9,19.7,20.7
