State,2015,2016,2017,2018
Alabama,22.8,22.6,22.4,22.3
Alaska,25.200000000000003,25.299999999999997,25.0,24.9
Arizona,23.7,23.5,23.3,22.9
Arkansas,23.7,23.6,23.6,23.4
California,23.3,23.099999999999998,22.9,22.7
Colorado,23.0,22.7,22.5,22.2
Connecticut,21.2,21.1,20.7,20.6
Delaware,21.599999999999998,21.5,21.2,21.0
District of Columbia,17.5,17.7,18.0,18.1
Florida,20.300000000000004,20.1,20.0,19.8
Georgia,24.599999999999998,24.400000000000002,24.1,23.8
Hawaii,21.7,21.6,21.4,21.3
Idaho,26.1,25.9,25.8,25.4
Illinois,23.1,22.8,22.6,22.4
Indiana,23.9,23.8,23.6,23.4
Iowa,23.3,23.2,23.2,23.2
Kansas,24.8,24.6,24.5,24.2
Kentucky,22.799999999999997,22.9,22.8,22.6
Louisiana,23.9,23.9,23.7,23.6
Maine,19.3,19.1,19.0,18.6
Maryland,22.5,22.4,22.3,22.1
Massachusetts,20.400000000000002,20.3,20.0,19.8
Michigan,22.299999999999997,22.1,21.8,21.7
Minnesota,23.4,23.4,23.3,23.2
Mississippi,24.299999999999997,24.200000000000003,23.9,23.6
Missouri,23.0,22.9,22.7,22.5
Montana,21.9,22.0,21.9,21.6
Nebraska,24.8,24.8,24.7,24.6
Nevada,23.099999999999998,23.0,22.8,22.7
New Hampshire,19.8,19.5,19.2,19.0
New Jersey,22.3,22.2,22.0,21.9
New Mexico,23.9,23.5,23.5,22.9
New York,21.3,21.2,20.9,20.8
North Carolina,22.799999999999997,22.6,22.4,22.1
North Dakota,22.6,23.0,22.9,23.0
Ohio,22.6,22.5,22.3,22.2
Oklahoma,24.5,24.5,24.5,24.3
Oregon,21.4,21.2,21.1,20.8
Pennsylvania,20.999999999999996,20.9,20.8,20.7
Rhode Island,20.0,19.8,19.5,19.3
South Carolina,22.2,22.099999999999998,21.9,21.7
South Dakota,24.4,24.6,24.5,24.3
Tennessee,22.599999999999998,22.599999999999998,22.5,22.3
Texas,26.3,26.2,26.0,25.8
Utah,30.400000000000002,30.200000000000003,29.8,29.5
Vermont,19.2,19.0,18.9,18.4
Virginia,22.3,22.2,22.1,22.0
Washington,22.5,22.4,22.2,22.1
West Virginia,20.5,20.6,20.6,20.1
Wisconsin,22.4,22.299999999999997,22.1,21.9
Wyoming,23.8,24.099999999999998,23.8,23.0
Puerto Rico,21.200000000000003,20.4,19.7,18.6
