State,2016,Party
West Virginia,20.8,R
Mississippi,21.8,R
Arkansas,22.4,R
Louisiana,23.4,R
Kentucky,23.4,R
Nevada,23.5,D
Alabama,24.7,R
Oklahoma,25.2,R
Puerto Rico,25.3,I
Indiana,25.6,R
Tennessee,26.1,R
Wyoming,27.1,R
South Carolina,27.2,R
New Mexico,27.2,D
Ohio,27.5,R
Idaho,27.6,R
Michigan,28.3,R
Iowa,28.4,R
Missouri,28.5,R
Florida,28.6,R
South Dakota,28.9,R
Arizona,28.9,R
Texas,28.9,R
Wisconsin,29.5,R
Alaska,29.6,R
North Dakota,29.6,R
Maine,30.1,D
North Carolina,30.4,R
Georgia,30.5,R
Pennsylvania,30.8,R
Montana,31.0,R
Delaware,31.0,D
Nebraska,31.4,R
Hawaii,31.9,D
Utah,32.6,R
Oregon,32.7,D
Kansas,32.8,R
California,32.9,D
Illinois,34.0,D
Rhode Island,34.1,D
Minnesota,34.8,D
Washington,35.1,D
New York,35.7,D
Vermont,36.4,D
New Hampshire,36.6,D
Virginia,38.1,D
New Jersey,38.6,D
Connecticut,38.6,D
Maryland,39.3,D
Colorado,39.9,D
Massachusetts,42.7,D
District of Columbia,56.8,D
