state,2015,2016,2017,2018
Alabama,18.5,17.1,16.9,16.8
Alaska,10.3,9.9,11.1,10.9
Arizona,17.4,16.4,14.9,14.0
Arkansas,19.1,17.2,16.4,17.2
California,15.3,14.3,13.3,12.8
Colorado,11.5,11.0,10.3,9.6
Connecticut,10.5,9.8,9.6,10.4
Delaware,12.4,11.7,13.6,12.5
District of Columbia,17.3,18.6,16.6,16.2
Florida,15.7,14.7,14.0,13.6
Georgia,17,16.0,14.9,14.3
Hawaii,10.6,9.3,9.5,8.8
Idaho,15.1,14.4,12.8,11.8
Illinois,13.6,13.0,12.6,12.1
Indiana,14.5,14.1,13.5,13.1
Iowa,12.2,11.8,10.7,11.2
Kansas,13,12.1,11.9,12.0
Kentucky,18.5,18.5,17.2,16.9
Louisiana,19.6,20.2,19.7,18.6
Maine,13.4,12.5,11.1,11.6
Maryland,9.7,9.7,9.3,9.0
Massachusetts,11.5,10.4,10.5,10.0
Michigan,15.8,15.0,14.2,14.1
Minnesota,10.2,9.9,9.5,9.6
Mississippi,22,20.8,19.8,19.7
Missouri,14.8,14.0,13.4,13.2
Montana,14.6,13.3,12.5,13.0
Nebraska,12.6,11.4,10.8,11.0
Nevada,14.7,13.8,13.0,12.9
New Hampshire,8.2,7.3,7.7,7.6
New Jersey,10.8,10.4,10.0,9.5
New Mexico,20.4,19.8,19.7,19.5
New York,15.4,14.7,14.1,13.6
North Carolina,16.4,15.4,14.7,14.0
North Dakota,11,10.7,10.3,10.7
Ohio,14.8,14.6,14.0,13.9
Oklahoma,16.1,16.3,15.8,15.6
Oregon,15.4,13.3,13.2,12.6
Pennsylvania,13.2,12.9,12.5,12.2
Rhode Island,13.9,12.8,11.6,12.9
South Carolina,16.6,15.3,15.4,15.3
South Dakota,13.7,13.3,13.0,13.1
Tennessee,16.7,15.8,15.0,15.3
Texas,15.9,15.6,14.7,14.9
Utah,11.3,10.2,9.7,9.0
Vermont,10.2,11.9,11.3,11.0
Virginia,11.2,11.0,10.6,10.7
Washington,12.2,11.3,11.0,10.3
West Virginia,17.9,17.9,19.1,17.8
Wisconsin,12.1,11.8,11.3,11.0
Wyoming,11.1,11.3,11.3,11.1
Puerto Rico,46.1,43.5,44.4,43.1
