state,2015,2016,2017,2018
Alabama,3.2,3.0,3.0,3.2
Alaska,5.1,4.5,4.3,4.6
Arizona,19.6,19.5,19.8,20.1
Arkansas,4.6,4.8,4.8,5.1
California,25.8,25.8,25.9,26.2
Colorado,11.8,11.8,11.5,11.5
Connecticut,12.1,12.3,12.2,12.6
Delaware,7.2,6.6,6.9,6.2
District of Columbia,9.4,9.2,8.5,8.4
Florida,20.2,20.1,20.6,21.3
Georgia,7.3,7.2,7.5,7.5
Hawaii,3,3.1,3.4,3.7
Idaho,7.2,7.7,8.3,8.4
Illinois,11.4,11.6,11.7,11.9
Indiana,4.5,4.7,4.7,4.8
Iowa,3.9,4.1,3.8,4.1
Kansas,7,6.9,7.5,7.6
Kentucky,2.8,2.8,2.9,2.9
Louisiana,3.9,4.2,4.5,4.0
Maine,1.2,1.4,1.2,1.1
Maryland,6.9,7.4,7.4,7.5
Massachusetts,8.5,9.2,9.1,9.5
Michigan,3.2,3.1,3.2,3.2
Minnesota,3.7,3.7,3.5,3.8
Mississippi,2.6,2.7,2.2,2.5
Missouri,2.8,2.9,2.9,2.8
Montana,1.9,1.7,2.4,2.5
Nebraska,6.7,6.8,7.6,6.8
Nevada,18.8,19.1,19.2,19.6
New Hampshire,2.2,2.5,2.5,3.0
New Jersey,15.6,15.8,16.0,16.2
New Mexico,31,30.1,30.5,31.0
New York,14.6,14.5,14.8,14.8
North Carolina,6.7,6.7,6.9,6.9
North Dakota,2.1,2.0,2.3,2.7
Ohio,2.7,2.6,2.7,2.8
Oklahoma,6.5,6.6,6.5,6.9
Oregon,8.2,8.0,7.9,8.5
Pennsylvania,4.8,5.1,5.3,5.5
Rhode Island,11.3,10.8,11.6,11.7
South Carolina,4.2,4.2,4.7,4.7
South Dakota,2.8,2.2,2.5,2.6
Tennessee,3.6,4.1,3.8,4.1
Texas,28.6,29.2,28.9,29.0
Utah,11.1,11.1,11.4,12.0
Vermont,1.6,1.3,1.4,1.6
Virginia,6.5,6.7,6.7,7.0
Washington,7.7,7.5,7.7,7.9
West Virginia,1.4,1.4,1.2,1.5
Wisconsin,4.7,4.6,4.5,4.7
Wyoming,5.1,5.7,6.2,5.8
Puerto Rico,95.4,95.3,95.0,95.3
