state,2015,2016,2017,2018
Alabama,24.6,22.3,21.8,23.7
Alaska,7.8,10.2,13.2,5.3
Arizona,16.3,15.2,14.6,14.4
Arkansas,26.6,25.2,21.8,22.0
California,20.3,20.2,19.4,19.0
Colorado,16.2,16.9,15.2,15.6
Connecticut,24.2,22.2,26.6,26.0
Delaware,20.7,22.9,20.3,18.9
District of Columbia,24.5,27.9,23.4,26.7
Florida,26.6,27.9,26.5,26.0
Georgia,25.3,25.1,21.6,22.4
Hawaii,10.6,2.8,8.1,6.1
Idaho,16.5,20.4,19.7,15.8
Illinois,20.5,19.0,18.9,18.3
Indiana,21.5,19.9,20.4,18.7
Iowa,23,22.2,24.7,17.8
Kansas,22.8,25.3,20.5,24.6
Kentucky,21.2,20.8,22.2,24.3
Louisiana,26.3,25.0,30.2,30.9
Maine,8.8,9.2,10.1,3.9
Maryland,22.2,21.6,20.3,20.3
Massachusetts,26.2,26.4,25.8,28.5
Michigan,16,14.9,13.3,13.7
Minnesota,22.5,20.5,18.5,16.6
Mississippi,19.7,18.9,17.1,20.5
Missouri,19.2,13.0,16.0,15.4
Montana,11.1,7.3,10.2,2.9
Nebraska,23.5,25.2,26.2,24.6
Nevada,23.4,23.5,20.9,20.7
New Hampshire,18.6,13.8,17.9,16.5
New Jersey,26.4,25.8,26.6,24.9
New Mexico,13.8,13.3,15.5,15.3
New York,26.3,27.3,26.5,26.1
North Carolina,27.6,24.0,23.9,21.2
North Dakota,4.7,8.5,13.9,6.1
Ohio,18.1,17.6,18.0,18.3
Oklahoma,25,23.4,20.8,19.0
Oregon,18.5,17.7,16.1,16.9
Pennsylvania,21.2,21.7,23.2,22.0
Rhode Island,31.4,24.7,36.6,31.3
South Carolina,25,24.1,19.2,19.4
South Dakota,14.7,19.1,26.0,16.6
Tennessee,26.8,24.2,24.3,22.9
Texas,23.7,23.5,22.7,22.8
Utah,15.5,14.9,13.9,12.5
Vermont,6,2.3,3.9,4.4
Virginia,18.9,21.1,19.7,18.3
Washington,20.9,21.9,20.0,18.1
West Virginia,4.8,13.2,11.0,13.0
Wisconsin,17.9,20.3,19.8,19.0
Wyoming,16.5,17.7,19.4,12.8
Puerto Rico,72,70.3,71.7,71.9
