"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C02_001E","S1602_C02_001M","S1602_C02_002E","S1602_C02_002M","S1602_C02_003E","S1602_C02_003M","S1602_C02_004E","S1602_C02_004M","S1602_C02_005E","S1602_C02_005M","S1602_C03_001E","S1602_C03_001M","S1602_C03_002E","S1602_C03_002M","S1602_C03_003E","S1602_C03_003M","S1602_C03_004E","S1602_C03_004M","S1602_C03_005E","S1602_C03_005M","S1602_C04_001E","S1602_C04_001M","S1602_C04_002E","S1602_C04_002M","S1602_C04_003E","S1602_C04_003M","S1602_C04_004E","S1602_C04_004M","S1602_C04_005E","S1602_C04_005M"
"id","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Total!!Estimate!!Households speaking!!Spanish","Total!!Margin of Error!!Households speaking!!Spanish","Total!!Estimate!!Households speaking!!Other Indo-European languages","Total!!Margin of Error!!Households speaking!!Other Indo-European languages","Total!!Estimate!!Households speaking!!Asian and Pacific Island languages","Total!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","Total!!Estimate!!Households speaking!!Other languages","Total!!Margin of Error!!Households speaking!!Other languages","Percent!!Estimate!!All households","Percent!!Margin of Error!!All households","Percent!!Estimate!!Households speaking!!Spanish","Percent!!Margin of Error!!Households speaking!!Spanish","Percent!!Estimate!!Households speaking!!Other Indo-European languages","Percent!!Margin of Error!!Households speaking!!Other Indo-European languages","Percent!!Estimate!!Households speaking!!Asian and Pacific Island languages","Percent!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","Percent!!Estimate!!Households speaking!!Other languages","Percent!!Margin of Error!!Households speaking!!Other languages","Limited English-speaking households!!Estimate!!All households","Limited English-speaking households!!Margin of Error!!All households","Limited English-speaking households!!Estimate!!Households speaking!!Spanish","Limited English-speaking households!!Margin of Error!!Households speaking!!Spanish","Limited English-speaking households!!Estimate!!Households speaking!!Other Indo-European languages","Limited English-speaking households!!Margin of Error!!Households speaking!!Other Indo-European languages","Limited English-speaking households!!Estimate!!Households speaking!!Asian and Pacific Island languages","Limited English-speaking households!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","Limited English-speaking households!!Estimate!!Households speaking!!Other languages","Limited English-speaking households!!Margin of Error!!Households speaking!!Other languages","Percent limited English-speaking households!!Estimate!!All households","Percent limited English-speaking households!!Margin of Error!!All households","Percent limited English-speaking households!!Estimate!!Households speaking!!Spanish","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Spanish","Percent limited English-speaking households!!Estimate!!Households speaking!!Other Indo-European languages","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Other Indo-European languages","Percent limited English-speaking households!!Estimate!!Households speaking!!Asian and Pacific Island languages","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","Percent limited English-speaking households!!Estimate!!Households speaking!!Other languages","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Other languages"
"0400000US01","Alabama","1852518","12189","55293","2923","19140","1899","16613","1464","6183","1189","(X)","(X)","3.0","0.2","1.0","0.1","0.9","0.1","0.3","0.1","21323","2484","12337","2010","2099","772","5722","1215","1165","595","1.2","0.1","22.3","3.5","11.0","3.8","34.4","6.5","18.8","9.1"
"0400000US02","Alaska","248468","2841","11267","1485","9038","1592","14688","1378","13525","1166","(X)","(X)","4.5","0.6","3.6","0.6","5.9","0.5","5.4","0.5","6792","1211","1152","566","745","409","3409","950","1486","428","2.7","0.5","10.2","4.9","8.2","4.1","23.2","6.1","11.0","3.0"
"0400000US04","Arizona","2519052","11479","490932","6793","72422","4163","60003","2951","68772","3615","(X)","(X)","19.5","0.3","2.9","0.2","2.4","0.1","2.7","0.1","104571","4240","74579","4457","6572","1316","12000","1574","11420","1323","4.2","0.2","15.2","0.9","9.1","1.7","20.0","2.5","16.6","1.8"
"0400000US05","Arkansas","1142718","7341","54435","2921","12003","1662","13108","1569","3128","899","(X)","(X)","4.8","0.2","1.1","0.1","1.1","0.1","0.3","0.1","18418","2578","13711","2204","1022","476","3315","944","370","293","1.6","0.2","25.2","3.9","8.5","3.9","25.3","7.2","11.8","9.6"
"0400000US06","California","12944178","15703","3344873","19072","769689","11453","1427369","11074","158211","6096","(X)","(X)","25.8","0.1","5.9","0.1","11.0","0.1","1.2","0.1","1210306","17074","674516","14068","123222","5422","379681","8154","32887","3075","9.4","0.1","20.2","0.4","16.0","0.6","26.6","0.5","20.8","1.8"
"0400000US08","Colorado","2108992","7767","249454","5731","64454","3987","47987","2610","18951","2558","(X)","(X)","11.8","0.3","3.1","0.2","2.3","0.1","0.9","0.1","63876","3798","42136","3320","5780","1081","11795","1419","4165","1187","3.0","0.2","16.9","1.3","9.0","1.5","24.6","2.8","22.0","5.6"
"0400000US09","Connecticut","1357269","7141","167190","4764","117688","5028","33669","2344","16078","1853","(X)","(X)","12.3","0.3","8.7","0.4","2.5","0.2","1.2","0.1","67603","4154","37163","3130","19655","2326","8573","1501","2212","621","5.0","0.3","22.2","1.8","16.7","1.8","25.5","3.9","13.8","4.0"
"0400000US10","Delaware","351085","3936","23127","1419","11583","1812","9925","1147","3570","896","(X)","(X)","6.6","0.4","3.3","0.5","2.8","0.3","1.0","0.3","9680","1439","5297","1232","1982","703","2336","759","65","80","2.8","0.4","22.9","5.2","17.1","5.3","23.5","7.3","1.8","2.3"
"0400000US11","District of Columbia","281241","3152","26008","1775","14268","1915","6361","913","6861","1306","(X)","(X)","9.2","0.6","5.1","0.7","2.3","0.3","2.4","0.5","11160","1882","7264","1429","1119","672","954","426","1823","774","4.0","0.7","27.9","5.0","7.8","4.2","15.0","6.4","26.6","9.4"
